Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #,Manufacturer Part #
"2u2","Capacitor SMD 0603","C1, C2, C7, C8, C11, C13","CAP_0603","CAP_0603","6","C23630"
"22u","Capacitor SMD 0805","C3, C4","CAP_0805","CAP_0805","2","C5674"
"100n","Capacitor SMD 0402","C5, C6, C9, C10, C12, C14, C15, C16, C17, C18, C21, C22","CAP_0402","CAP_0402","12","C1525"
"10P","Capacitor SMD 0402","C19, C20","CAP_0402","CAP_0402","2","C32949"
"RED","LED 0402 RED SMD","D1","LED_0402_RED","LED_0402_RED","1","C74339"
"BLUE","LED 0402 BLUE SMD","D2","LED_0402_BLUE","LED_0402_BLUE","1","C131223"
"120R","Ferrite Bead SMD 0603","FB1","FB_0603","FB_0603","1","C113030"
"TYPE-C-31-M-12","USB Type C Connector Horizontal SMT","J2","TYPE-C-31-M-12","TYPE-C-31-M-12","1","C165948"
"1k","Resistor SMD 0402","R1, R8","RES_0402","RES_0402","2","C11702"
"5k1","Resistor SMD 0402","R2, R3","RES_0402","RES_0402","2","C25905","0402WGF5101TCE"
"10k","Resistor SMD 0402","R4, R7, R10","RES_0402","RES_0402","3","C25744"
"4k7","Resistor SMD 0402","R5, R6","RES_0402","RES_0402","2","C25900","0402WGF4701TCE"
"0R","Resistor SMD 0402","R9","RES_0402","RES_0402","1","C21376"
"AMS1117-3.3","LDO Voltage Regulators 1A, 3.3V","U1","FP-AMS1117-IPC_C","CMP-209535-000001-1","1","C6186"
"ICM-42688-P","Accelerometer, Gyroscope, 6 Axis Sensor Output","U2","PQFN50P300X250X97-14N","ICM-42688-P","1","C1850418"
"LIS3MDLTR","SENSOR MR I2C/SPI 12LGA","U3","FP-VFLGA-12-8365767-MFG","CMP-2000-07463-2","1","C478483"
"STM32F411CEU6","ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray","U4","STM-UFQFPN48_L","CMP-0243-00165-1","1","C60420"
"BMP388","P-Sensor SPI I2C 1, 25 Bar SMD","U5","PQFN50P200X200X80-10N","BMP388","1","C779278"
"24MHz","Crystal SMD 24MHz 10PPM 7pF 3225","X1","XTAL_3225","TSX-3225_24.0000MF15X-AC","1","C9006"
